Period,UAH/USD (approx.),De facto regime,IMF classification,Capital controls,Key events
2000-2004,5.3 - 5.4,Conventional peg to USD,Stabilised arrangement / Other conventional peg,"Extensive (surrender requirements, transfer restrictions)",Post-hyperinflation stabilisation. NBU maintains de facto dollar peg via heavy intervention. Discount rate cut from 45% to 7%. No independent monetary policy.
2005-2007,5.05,Conventional peg to USD,Stabilised arrangement (de facto peg at 5.05),Moderate (gradually eased for current account),"Strong growth (7-8% real GDP), large capital inflows, appreciation pressure. NBU intervenes to prevent appreciation. De facto peg stable at 5.05. IMF classifies as stabilised arrangement despite official 'managed float' label."
2008 Q4 - 2009 Q1,5.05 → 8.0,DEVALUATION (crisis-driven),Managed float (during adjustment),Tightened (NBU imposed emergency FX restrictions),"Global Financial Crisis. Capital flight, current account reversal, steel export collapse. UAH devalues ~60% over 6 months. IMF Stand-By Arrangement (Nov 2008, $16.4bn). Trigger: global liquidity crisis + commodity price collapse."
2009-2013,7.9 - 8.2,De facto peg to USD (new level),Stabilised arrangement,Moderate to tight (NBU FX market regulations),"NBU re-establishes peg at ~8 UAH/USD. Inflation falls to single digits. But: twin deficits persist, reserves erode gradually. No genuine monetary policy autonomy; interest rate subordinated to exchange-rate defence."
2014 Feb - 2015 Feb,8.2 → 24 - 30,DEVALUATION (geopolitical crisis),Managed float → Free fall (Reinhart-Rogoff),"Severe (mandatory FX surrender, transfer caps, cash withdrawal limits)","Euromaidan revolution (Feb 2014), Russian annexation of Crimea (Mar 2014), armed conflict in Donbas. UAH devalues >200%. NBU loses ~60% of reserves. IMF programme ($17.1bn, Mar 2015). Trigger: geopolitical shock + loss of industrial base in east."
2015-2016,24 - 27,Managed float (transition),Managed float (composite),Extensive (gradually relaxed),"NBU formally adopts inflation-targeting framework (Board Decision, Aug 2015; operational from 2016). IT target: 12% for 2016, 8% for 2017, 6% for 2018, 5% +/- 1pp from 2019. In practice, the NBU began actively using the key policy rate as the primary instrument, allowed greater exchange-rate flexibility, and reduced direct FX interventions — a genuine break from the prior peg-driven regime (Giavazzi & Pagano, 1988). Exchange rate stabilises but remains volatile. Actual inflation ~43% in 2015, ~14% in 2016."
2017-2019,26 - 28 (then 24 by end-2019),Managed float / Inflation targeting,Floating,Gradually lifted (current account liberalised 2017-2019),"IT becomes operational. Inflation converges to target (14% → 10% → 4%). NBU gains credibility, reserves rebuilt. This is the only period of genuine monetary sovereignty. UAH appreciates in 2019 (capital inflows + high real rates)."
2020-2021,27 - 28,Inflation targeting (flexible),Floating,Minimal (COVID-era temporary measures),"COVID-19 pandemic. NBU cuts key rate from 13.5% to 6% (aggressive easing). Inflation stays near target (~5%). Rate cycle similar to ECB/Fed. Genuine monetary autonomy continues. IMF Stand-By ($5bn, Jun 2020)."
2022 Feb - 2022 Jul,29.3 → 36.6 (fixed Jul 21),DEVALUATION → wartime peg,Stabilised arrangement (wartime),"Severe (full FX surrender, capital outflow ban, cash withdrawal limits)","Full-scale Russian invasion (24 Feb 2022). NBU fixes rate at 29.25 (day 1), then devalues to 36.57 (21 Jul 2022). Key rate raised from 10% to 25%. Monetary sovereignty suspended; war economy. Trigger: full-scale war."
2022 Oct - 2025,36.6 → 41.2 (controlled crawl),Managed arrangement / Controlled depreciation,Stabilised arrangement → Crawl-like,"Gradually eased (current account 2023, capital account partial 2024)","NBU begins gradual easing: key rate cut from 25% to 13% (2023-2024). Controlled UAH depreciation (~3%/year). NBU signals return to IT framework post-war. IMF EFF ($15.6bn, Mar 2023). De facto regime: crawl-like arrangement with heavy intervention."
